,state,capital,temperature,windspeed,location
0,Alabama,Montgomery,84.3,12.2,"Montgomery, Alabama"
1,Alaska,Juneau,68.3,4.5,"Juneau, Alaska"
2,Arizona,Phoenix,99.0,3.4,"Phoenix, Arizona"
3,Arkansas,Little Rock,88.0,18.4,"Little Rock, Arkansas"
4,California,Sacramento,82.6,8.4,"Sacramento, California"
5,Colorado,Denver,77.4,12.5,"Denver, Colorado"
6,Connecticut,Hartford,77.2,11.3,"Hartford, Connecticut"
7,Delaware,Dover,73.5,15.3,"Dover, Delaware"
8,Florida,Tallahassee,88.6,18.4,"Tallahassee, Florida"
9,Georgia,Atlanta,80.1,15.3,"Atlanta, Georgia"
10,Hawaii,Honolulu,78.7,18.8,"Honolulu, Hawaii"
11,Idaho,Boise,76.9,4.5,"Boise, Idaho"
12,Illinois,Springfield,81.9,17.6,"Springfield, Illinois"
13,Indiana,Indianapolis,77.5,21.1,"Indianapolis, Indiana"
14,Iowa,Des Moines,80.8,14.9,"Des Moines, Iowa"
15,Kansas,Topeka,81.5,17.0,"Topeka, Kansas"
16,Kentucky,Frankfort,78.1,18.1,"Frankfort, Kentucky"
17,Louisiana,Baton Rouge,88.9,4.6,"Baton Rouge, Louisiana"
18,Maine,Augusta,70.4,20.3,"Augusta, Maine"
19,Maryland,Annapolis,73.5,11.9,"Annapolis, Maryland"
20,Massachusetts,Boston,74.0,11.9,"Boston, Massachusetts"
21,Michigan,Lansing,76.1,18.8,"Lansing, Michigan"
22,Minnesota,Saint Paul,82.4,7.3,"Saint Paul, Minnesota"
23,Mississippi,Jackson,87.9,8.9,"Jackson, Mississippi"
24,Missouri,Jefferson City,78.0,14.1,"Jefferson City, Missouri"
25,Montana,Helena,57.8,5.2,"Helena, Montana"
26,Nebraska,Lincoln,82.9,16.3,"Lincoln, Nebraska"
27,Nevada,Carson City,79.7,5.7,"Carson City, Nevada"
28,New Hampshire,Concord,74.7,18.5,"Concord, New Hampshire"
29,New Jersey,Trenton,76.5,12.1,"Trenton, New Jersey"
30,New Mexico,Santa Fe,76.8,11.9,"Santa Fe, New Mexico"
31,New York,Albany,78.0,17.7,"Albany, New York"
32,North Carolina,Raleigh,75.9,21.9,"Raleigh, North Carolina"
33,North Dakota,Bismarck,82.4,19.2,"Bismarck, North Dakota"
34,Ohio,Columbus,76.2,19.6,"Columbus, Ohio"
35,Oklahoma,Oklahoma City,84.3,18.1,"Oklahoma City, Oklahoma"
36,Oregon,Salem,78.8,3.3,"Salem, Oregon"
37,Pennsylvania,Harrisburg,75.1,13.6,"Harrisburg, Pennsylvania"
38,Rhode Island,Providence,77.2,5.8,"Providence, Rhode Island"
39,South Carolina,Columbia,72.9,20.7,"Columbia, South Carolina"
40,South Dakota,Pierre,88.3,25.3,"Pierre, South Dakota"
41,Tennessee,Nashville,80.0,16.1,"Nashville, Tennessee"
42,Texas,Austin,90.4,13.7,"Austin, Texas"
43,Utah,Salt Lake City,79.2,9.2,"Salt Lake City, Utah"
44,Vermont,Montpelier,69.6,19.1,"Montpelier, Vermont"
45,Virginia,Richmond,73.2,16.8,"Richmond, Virginia"
46,Washington,Olympia,77.5,5.9,"Olympia, Washington"
47,West Virginia,Charleston,78.3,13.3,"Charleston, West Virginia"
48,Wisconsin,Madison,77.3,11.5,"Madison, Wisconsin"
49,Wyoming,Cheyenne,71.1,24.3,"Cheyenne, Wyoming"
